,cation_SMILES,anion_SMILES,salt_SMILES,cation_name,anion_name,salt_name
0,CCCC[NH+]1C=CN(C1C)C,(C6=C(C5(C)C)C7=CC=CC=C7C=C6)CCCC)(C)C.C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,"CCCC[NH+]1C=CN(C1C)C,(C6=C(C5(C)C)C7=CC=CC=C7C=C6)CCCC)(C)C.C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F","1-butyl-2,3-dimethyl-1H-imidazolium ",trifluorotris(perfluoroethyl)phosphate(V),"1-butyl-2,3-dimethyl-1H-imidazolium  trifluorotris(perfluoroethyl)phosphate(V)"
0,CCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[O-],"CCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[O-]",1-ethyl-3-methylimidazolium,trifluoromethanesulfonate,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
0,CCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[O-],"CCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[O-]",1-butyl-3-methylimidazolium ,trifluoromethanesulfonate,1-butyl-3-methylimidazolium  trifluoromethanesulfonate
0,CCCCN1C=C[N+](=C1)C,C(=O)(C(F)(F)F)[O-],"CCCCN1C=C[N+](=C1)C,C(=O)(C(F)(F)F)[O-]",1-butyl-3-methylimidazolium ,trifluoroacetate,1-butyl-3-methylimidazolium  trifluoroacetate
0,CCN1C=C[N+](=C1)C,C(=C(C#N)C#N)=[N-],"CCN1C=C[N+](=C1)C,C(=C(C#N)C#N)=[N-]",1-ethyl-3-methylimidazolium,tricyanomethanide,1-ethyl-3-methylimidazolium tricyanomethanide
0,CCCCN1C=C[N+](=C1)C,C(=C(C#N)C#N)=[N-],"CCCCN1C=C[N+](=C1)C,C(=C(C#N)C#N)=[N-]",1-butyl-3-methylimidazolium ,tricyanomethane,1-butyl-3-methylimidazolium  tricyanomethane
0,CCN1C=C[N+](=C1)C,C(#N)[S-],"CCN1C=C[N+](=C1)C,C(#N)[S-]",1-ethyl-3-methylimidazolium,thiocyanate,1-ethyl-3-methylimidazolium thiocyanate
0,CCCCN1C=C[N+](=C1)C,C(#N)[S-],"CCCCN1C=C[N+](=C1)C,C(#N)[S-]",1-butyl-3-methylimidazolium ,thiocyanate,1-butyl-3-methylimidazolium  thiocyanate
0,CCCN1C=C[N+](=C1C)C,[B-](F)(F)(F)F,"CCCN1C=C[N+](=C1C)C,[B-](F)(F)(F)F","1,2-dimethyl-3-propylimidazolium ",tetrafluoroborate,"1,2-dimethyl-3-propylimidazolium  tetrafluoroborate"
0,CCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,"CCN1C=C[N+](=C1)C,[B-](F)(F)(F)F",1-ethyl-3-methylimidazolium,tetrafluoroborate,1-ethyl-3-methylimidazolium tetrafluoroborate
0,CCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,"CCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F",1-butyl-3-methylimidazolium ,tetrafluoroborate,1-butyl-3-methylimidazolium  tetrafluoroborate
0,CCCCN1C=C[N+](=C1C)C,[B-](F)(F)(F)F,"CCCCN1C=C[N+](=C1C)C,[B-](F)(F)(F)F","1-butyl-2,3-dimethylimidazolium ",tetrafluoroborate,"1-butyl-2,3-dimethylimidazolium  tetrafluoroborate"
0,CCCCN1C=C[N+](=C1)C,OCl(=O)(=O)=O,"CCCCN1C=C[N+](=C1)C,OCl(=O)(=O)=O",1-butyl-3-methylimidazolium ,perchlorate,1-butyl-3-methylimidazolium  perchlorate
0,CN1C=C[N+](=C1)C,COS(=O)(=O)[O-],"CN1C=C[N+](=C1)C,COS(=O)(=O)[O-]","1,3-dimethylimidazolium ",methylsulfate,"1,3-dimethylimidazolium  methylsulfate"
0,CCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],"CCN1C=C[N+](=C1)C,COS(=O)(=O)[O-]",1-ethyl-3-methylimidazolium,methylsulfate,1-ethyl-3-methylimidazolium methylsulfate
0,CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],"CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-]",1-butyl-3-methylimidazolium ,methylsulfate,1-butyl-3-methylimidazolium  methylsulfate
0,CCN1C=C[N+](=C1)C,CS(=O)(=O)O,"CCN1C=C[N+](=C1)C,CS(=O)(=O)O",1-ethyl-3-methylimidazolium,methanesulfonate,1-ethyl-3-methylimidazolium methanesulfonate
0,CCCCN1C=C[N+](=C1)C,[I-],"CCCCN1C=C[N+](=C1)C,[I-]",1-butyl-3-methylimidazolium ,iodide,1-butyl-3-methylimidazolium  iodide
0,CCN1C=C[N+](=C1)C,F[P-](F)(F)(F)(F)F,"CCN1C=C[N+](=C1)C,F[P-](F)(F)(F)(F)F",1-ethyl-3-methylimidazolium,hexafluorophosphate,1-ethyl-3-methylimidazolium hexafluorophosphate
0,CCCCN1C=C[N+](=C1)C,F[P-](F)(F)(F)(F)F,"CCCCN1C=C[N+](=C1)C,F[P-](F)(F)(F)(F)F",1-butyl-3-methylimidazolium ,hexafluorophosphate,1-butyl-3-methylimidazolium  hexafluorophosphate
0,CCN1C=C[N+](=C1)C,"CCOS(=O)(=O)[O-]
","CCN1C=C[N+](=C1)C,CCOS(=O)(=O)[O-]
",1-ethyl-3-methylimidazolium,ethyl sulfate,1-ethyl-3-methylimidazolium ethyl sulfate
0,CCN1C=C[N+](=C1)C,CCOS(=O)(=O)[O-],"CCN1C=C[N+](=C1)C,CCOS(=O)(=O)[O-]",1-ethyl-3-methylimidazolium,ethyl sulfate,1-ethyl-3-methylimidazolium ethyl sulfate
0,CN1C=C[N+](=C1)C,COS(=O)(=O)[O-],"CN1C=C[N+](=C1)C,COS(=O)(=O)[O-]","1,3-dimethylimidazolium ",dimethylphosphate,"1,3-dimethylimidazolium  dimethylphosphate"
0,CCCCN1C=C[N+](=C1)C,C(#N)[N-]C#N,"CCCCN1C=C[N+](=C1)C,C(#N)[N-]C#N",1-butyl-3-methylimidazolium ,dicyanamide,1-butyl-3-methylimidazolium  dicyanamide
0,CCN1C=C[N+](=C1)C,[Cl-],"CCN1C=C[N+](=C1)C,[Cl-]",1-ethyl-3-methylimidazolium,chloride,1-ethyl-3-methylimidazolium chloride
0,CCCCN1C=C[N+](=C1)C,[Cl-],"CCCCN1C=C[N+](=C1)C,[Cl-]",1-butyl-3-methylimidazolium ,chloride,1-butyl-3-methylimidazolium  chloride
0,CCCCN1C=C[N+](=C1)C,[Br-],"CCCCN1C=C[N+](=C1)C,[Br-]",1-butyl-3-methylimidazolium ,bromide,1-butyl-3-methylimidazolium  bromide
0,CCCN1C=C[N+](=C1C)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"CCCN1C=C[N+](=C1C)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F","1,2-dimethyl-3-propylimidazolium ",bis[(trifluoromethyl)sulfonyl]imide,"1,2-dimethyl-3-propylimidazolium  bis[(trifluoromethyl)sulfonyl]imide"
0,CCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"CCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F",1-ethyl-3-methylimidazolium,bis[(trifluoromethyl)sulfonyl]imide,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
0,CCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"CCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F",1-butyl-3-methylimidazolium ,bis(trifluoromethylsulfonyl)imide,1-butyl-3-methylimidazolium  bis(trifluoromethylsulfonyl)imide
0,CCCC[NH+]1C=CN(C1C)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"CCCC[NH+]1C=CN(C1C)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F","1-butyl-2,3-dimethyl-1H-imidazolium ",bis(trifluoromethylsulfonyl)amide,"1-butyl-2,3-dimethyl-1H-imidazolium  bis(trifluoromethylsulfonyl)amide"
0,CCCCN1C=C[N+](=C1)C,C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,"CCCCN1C=C[N+](=C1)C,C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F",1-butyl-3-methylimidazolium ,bis(perfluoroethylsulfonyl)imide,1-butyl-3-methylimidazolium  bis(perfluoroethylsulfonyl)imide
0,CN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"CN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F","1,3-dimethylimidazolium ",bis((trifluoromethyl)sulfonyl)amide,"1,3-dimethylimidazolium  bis((trifluoromethyl)sulfonyl)amide"
0,CN1C=C[N+](=C1)C,CC(=O)[O-],"CN1C=C[N+](=C1)C,CC(=O)[O-]","1,3-dimethylimidazolium ",acetate,"1,3-dimethylimidazolium  acetate"
0,CCN1C=C[N+](=C1)C,CC(=O)[O-],"CCN1C=C[N+](=C1)C,CC(=O)[O-]",1-ethyl-3-methylimidazolium,acetate,1-ethyl-3-methylimidazolium acetate
0,CCCCN1C=C[N+](=C1)C,CC(=O)[O-],"CCCCN1C=C[N+](=C1)C,CC(=O)[O-]",1-butyl-3-methylimidazolium ,acetate,1-butyl-3-methylimidazolium  acetate
0,CCN1C=C[N+](=C1)C,C(C(F)(F)S(=O)(=O)NS(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,"CCN1C=C[N+](=C1)C,C(C(F)(F)S(=O)(=O)NS(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F",1-ethyl-3-methylimidazolium,"1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide","1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide"
0,CCN1C=C[N+](=C1)C,C(#N)[N-]C#N,"CCN1C=C[N+](=C1)C,C(#N)[N-]C#N",1-ethyl-3-methylimidazolium, dicyanamide,1-ethyl-3-methylimidazolium  dicyanamide
